국가,500$ 이하,500$ 초과- 1000$ 이하,1000$ 초과- 1500$ 이하,1500$ 초과- 2000$ 이하,2000$ 초과- 3000$ 이하,3000$ 초과,최대금액초과자
    일              본,1092.047592683749,1618.1246977560468,390.76342757797516,132.27276771129544,67.78486118511793,57.006653085833115,0.0
    중              국,452.7220101768566,1338.9775564459662,1161.690945781621,811.8314477021146,685.2887141820518,913.5182262758534,82.97109943552448
    홍              콩,110.35029521157182,338.0179786755175,189.8001389188485,73.2910129691364,41.31624671361522,30.92081328056911,5.303514230738825
    싱   가    포   르,30.21378466295134,92.57075899346488,58.209762085245806,37.25716963785011,21.660747723936442,10.554650118422844,0.5331267781285327
    대              만,183.83304354778272,529.8128547512194,358.7969357593476,106.94669519044852,67.10564848118936,33.194981882386784,6.309840387623525
    태              국,100.2338901665206,242.09473727447832,119.8945967963317,53.75428806648948,42.64860467603034,24.947115499264754,4.426767520883334
    말  레  이  시  아,73.44709297184592,169.444965423236,108.04625766446111,38.58171839458746,17.572275383958907,7.907690161910097,0.0
    호              주,49.293970821634574,50.900629450389125,23.57635458356359,14.693008970086685,15.156172725801108,6.3798634485248185,0.0
    미              국,252.63774032525032,358.1362019915462,176.19903007375618,101.89802583209914,87.88105472502772,63.831634152208764,5.416312900105704
    캐      나      다,65.73878996789756,68.9200393228644,31.712348583395734,15.710084522168893,9.658915125008708,11.135533637811761,2.1242888408534752
    영              국,30.040849929433985,47.2628255747965,27.741497532053508,13.184591948744393,9.443435579500774,6.947389054414309,0.3794103810569288
    독              일,24.607262739385128,43.74652215039406,21.90512838022396,10.0691345378885,10.62573918952184,9.03688646763856,1.0093265349479499
    프      랑      스,20.67942841794422,36.55515394691337,26.11339140508629,8.639632981405596,9.591391805266936,4.421001443383749,0.0
    러      시      아,55.804520186233866,93.30607288132069,51.830099585341245,30.53339735349883,27.243926795810257,22.712725349389252,3.56925784840584
    중              동,29.20752500398903,64.53279504199176,46.32469586997707,30.652076989134947,38.171490479417116,36.54874185420802,6.562674761281778
    인              도,19.33952550877292,27.17284619910299,18.79431327087236,8.782239387078164,10.052122515914434,11.090440504664848,0.7685126135941788
    필      리      핀,100.25457427973923,124.7057632172458,61.416461337622806,25.06813455401227,13.449303302976858,9.446634403871563,1.6591289045314535
    인  도  네  시  아,48.30390573431778,75.39555060429946,56.13765567624351,23.65769677372161,19.675996090778362,8.02689270632764,1.8023024143121997
    베      트      남,65.65021669466127,174.52801480545452,133.9744923405673,58.404400530029044,32.12830947616673,17.7674732385067,1.5470929146152534
    몽              골,13.8865251035349,28.572224724724745,23.557970372333113,17.976606164988535,21.84686559108124,26.528535103731173,0.6312729396062676
    기              타,158.66337022789855,219.90737880246502,128.88280596345413,95.07588336964116,74.7174441400185,62.035216287063854,1.7179012094587243
