광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,2.97571494E8,2.78416203E8,6.9
부산광역시,3.0431834E7,3.153216E7,-3.5
대구광역시,4173556.0,3330408.0,25.3
인천광역시,4.4244149E7,4.6997447E7,-5.9
광주광역시,1162488.0,1036095.0,12.2
대전광역시,2366942.0,2235195.0,5.9
울산광역시,1143145.0,1102979.0,3.6
세종특별자치시,60526.0,59276.0,2.1
경기도,3.3579253E7,2.9362416E7,14.4
강원도,1058509.0,896113.0,18.1
충청북도,1127067.0,1371439.0,-17.8
충청남도,1692153.0,1787357.0,-5.3
전라북도,1338671.0,1110812.0,20.5
전라남도,672640.0,750078.0,-10.3
경상북도,1682731.0,1587886.0,6.0
경상남도,3906387.0,3859449.0,1.2
제주특별자치도,1.3682398E7,1.687804E7,-18.9
