연령별,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,계,
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),
0 ~ 10,"25,714","35,757","32,663","36,221","28,113","40,491","57,969","59,960","29,349","35,528","29,080","51,155","38,495","38,885","32,866","50,923","36,666","46,794","68,889","74,495","34,439","43,074","31,655","48,286","1,007,467",
11 ~ 20,"49,448","69,347","100,206","51,485","49,855","87,692","130,158","162,486","65,877","52,880","55,940","105,391","71,722","78,049","117,208","73,436","60,315","104,329","154,997","180,162","66,911","63,687","60,486","96,265","2,108,332",
21 ~ 30,"244,706","281,742","354,209","309,195","299,161","315,499","288,227","345,341","349,991","370,551","334,432","341,704","275,925","331,472","389,904","371,597","355,340","366,645","338,386","388,519","395,973","419,644","369,001","367,569","8,204,733",
31 ~ 40,"222,457","224,125","293,052","300,869","271,514","271,103","248,997","263,416","276,077","335,247","297,766","280,609","241,435","263,174","321,264","365,298","330,804","321,241","294,658","306,222","334,089","370,962","336,528","336,164","7,107,071",
41 ~ 50,"153,900","169,186","216,058","210,037","194,196","202,267","205,359","217,090","186,398","235,556","220,959","210,664","169,018","182,963","230,985","251,225","223,868","227,462","229,796","237,245","207,976","242,953","226,059","225,284","5,076,504",
51 ~ 60,"119,587","128,404","176,522","186,146","172,166","165,374","149,779","158,837","169,029","221,735","193,478","159,376","132,619","144,830","200,310","223,030","203,232","184,956","164,816","170,298","187,687","227,597","199,121","175,466","4,214,395",
61 ~ 70,"58,714","60,766","95,588","116,359","103,670","92,262","78,747","82,610","97,182","142,431","112,134","83,541","78,071","75,866","126,186","151,424","134,722","108,614","91,787","93,015","115,313","149,796","123,587","103,459","2,475,844",
71 ~,"13,566","14,966","25,122","37,451","33,414","27,692","20,884","23,293","27,531","45,342","29,115","17,739","18,258","17,174","33,814","49,641","43,088","32,116","24,172","26,523","33,684","44,232","30,549","24,948","694,314",
승무원,"67,944","61,122","72,680","83,946","85,932","79,713","74,713","78,694","77,170","88,562","77,486","73,940","79,260","69,389","83,104","98,492","97,649","84,061","80,566","109,820","83,592","94,250","79,443","79,447","1,960,975",
전 체,"956,036","1,045,415","1,366,100","1,331,709","1,238,021","1,282,093","1,254,833","1,391,727","1,278,604","1,527,832","1,350,390","1,324,119","1,104,803","1,201,802","1,535,641","1,635,066","1,485,684","1,476,218","1,448,067","1,586,299","1,459,664","1,656,195","1,456,429","1,456,888","32,849,635",
,,,,,,,,,,,,,,,,,,,,,,,,,,
